estimate,"견적서, 추정서"
initiate,시작하다
initiative,"계획, 주도권, 진취성"
objective,"목적, 목표, 객관적인"
precision,"정확성, 정밀성"
figures,수치
capacity,"능력, 용량, 수용력"
inventory,"물품 목록, 재고"
confidence,"자신감, 신뢰, 확신"
associate,"동려, 직원, 연관짓다"
comply,"지키다, 따르다"
compliance,"준수, (명령, 요구등에)따름"
venue,장소
expense,비용
adjust,"조정하다, 적응하다"
adjustment,"수정, 조정, 적응"
enrollment,"등록, 입학"
release,"발표, 공개"
maintenance,"유지, 보수"
submit,제출하다
anticipate,예상하다
extend,"연장하다, 확대하다"
apply,"지원하다, 신청하다"
suspect,"의심하다, 용의자"
suspend,"중단하다, 정지하다"
assist,"돕다, 보조하다"
coincide,"일치하다, 동시에 일어나다"
coincidence,"우연, 동시"
compete,경쟁하다
commit,"저지르다, 약속하다, 전념하다"
reduce,"줄이다, 낮추다"
implement,시행하다
decline,"감소하다, 거절하다"
cultivate,"재배하다, 구축하다"
agiculture,"농업, 축산"
retain,유지하다
remain,"남다, 머무르다"
distribute,"분배하다, 나누어주다"
accumulate,"모으다, 축적하다"
facilitate,"가능하게하다, 수월하게하다"
specify,구체적으로 명시하다
resolve,해결하다
proceed,진행되다
promote,"홍보하다, 승진시키다"
resume,재개하다
yield,"도출하다, 산출하다"
grant,"허락하다, 승인하다"
accommodate,"수용하다, 받아들이다"
coordinate,"조직화하다, 조정하다"
commence,"시작되다, 시작하다"
